State,First_vaccine_date,Full,Before,first_week,first_second_week,before_last_game,second_seven_week,second_second_week,After,RMSE
ABW,2021-04-05,-99.04528278294714,-87.55186946612277,-98.69385476757733,-99.42744498020548,-99.58728134647889,-99.80644544913108,-100.1900725564965,-100.10594749744337,71.98924403990125
AFG,2021-03-01,160.84450532668652,55.4506287185818,151.88034145699845,164.10567580287383,299.3530379927307,723.9385807031846,2398.4132069038105,2688.3625591755153,958.4976535168304
AGO,2021-03-08,-40.93845994735761,-33.468345133821764,-52.38494039519187,-36.77887360130771,-33.48238998040702,-42.91842998840536,-48.90877064227662,-45.20462536549108,63.481092125425654
AIA,2021-02-11,-92.45769426239536,1.5061119998007892,-104.32161588071394,-104.40994484951842,,,,,2.8360650555220834
ALB,2021-01-17,-101.93379934749717,-92.77217600469598,-129.06350272349584,-106.70958188468056,-103.04500928650387,-101.68336177705395,-100.83021895083553,-100.89719926403005,292.427408585864
AND,2021-02-01,-46.71688770410416,-48.93580472413046,-57.14445949671312,-50.164679979264704,-34.31131884467595,-37.635882802585535,-3.7185147710449304,1.292976077244215,11.591755048879525
ARE,2021-01-12,3.8434856066811984,-4.526906282988708,-7.782310135998998,-4.769471218311439,5.696502117433475,21.612742482563483,37.56708942818373,45.20951764232031,202.66820517754982
ARG,2021-01-05,-18.79526195025376,-2.5420486093494423,-20.08638473948291,-30.400769351741975,-34.847746854303836,-37.08939627684049,-59.18101313460612,-74.33316295877795,2554.9699543391994
ARM,2021-04-07,-4.5018962990729126,-6.883238974654635,3.468314412821553,9.035860447253171,4.487439888445681,-5.515387418911642,-12.911478030377324,-12.983228913255013,31.269739662037626
ATG,2021-02-23,-52.833474806447434,102.78668329613573,2.8376047413089323,-16.672666678766408,-43.03922459355702,-51.98884663973815,-74.83269025265888,-83.68924358590371,7.752449555714443
AUS,2021-02-28,-77.63816706039412,-54.0996819920011,-67.6279236440868,-72.16653713538005,-74.50285568148612,-80.1462907404171,-85.49088846602987,-87.82086961300692,402.78339908329053
AUT,2021-01-15,-9.91219687555123,9.268457285089053,10.158992073461887,15.810706303428084,1.324147535914166,-18.148552451154835,-29.92453479494317,-31.5346039649492,172.4264360293787
AZE,2021-01-24,-52.16131514412642,-31.690256700241605,3.3642817059330685,-11.858818610999093,-44.99890537144985,-61.90222629244374,-65.12701822907582,-64.70674067897643,1163.3805365162045
BEL,2021-01-04,8.36787783575977,24.17389018011496,39.73265767068563,22.293354946364435,2.41968496052814,-14.42501291831339,-23.233206792495377,-23.974377808528423,401.3909032774474
BEN,2021-05-19,-96.60183979548978,-41.939035825131974,-80.73724701064282,-90.1040997726375,-93.41303019624091,-99.00619064799267,-100.20421343468442,,155.27928229379705
BFA,2021-06-09,28.706601019756985,76.84897461669094,9.948783903202456,29.090430941252414,-9.733001726899431,31.20236356102441,10.843933069299966,54.402554921779696,2.0275775208234315
BGD,2021-02-02,-27.80533063664678,2.670384395765033,-33.74318700325665,-48.569768462529225,-57.62145916550615,-56.37875828549787,-64.17718322893316,-80.678700027063,3827.334959855876
BGR,2021-01-05,-39.4440264036689,122.19060214876805,54.862596662461236,-9.15197350830356,-34.35017018415951,-55.81122315759002,-68.2633930369454,-73.30923096692355,402.8600864781115
BHR,2020-12-30,3.1227378968768154,14.276457332346057,-3.1400666927227108,0.34960495103541955,-9.003026729002398,-6.893865309101908,0.3287687400527465,-3.138557997511505,11.44654539026241
BHS,2021-03-20,-33.64600103301852,-7.49846212181573,-41.035173040468855,-37.15725115240304,-46.51116217277875,-42.24908403770373,-44.67310671404418,-37.81696388015194,39.658711634855116
BIH,2021-02-18,-52.109425992679114,119.485920432187,71.3168541366701,-6.227123787787982,-43.002267568955766,-62.341121091179815,-80.03620948111589,-83.35293863196014,152.4444179288837
BLR,2021-01-04,-1.3342411243824686,2.6193018280617526,7.000547602600707,8.95829437525037,8.451004605403124,-8.098827415712382,-16.34420721968894,-20.032437991771285,110.81138623554969
BLZ,2021-03-07,0.5753421033142008,28.405924136698328,44.60476663346654,19.819673397443964,4.520502492806017,-22.851708210552385,-26.89335031036415,-25.74314085263384,13.791201691725082
BMU,2021-01-17,-88.91574224322845,-198.02143537056597,-69.33617895404701,-82.56199162897333,-85.01161244410254,-81.3522434845512,-81.57810324175237,-83.93053326216919,5.980881720713321
BOL,2021-02-09,73.0472534372527,30.745804292160955,107.67044843620452,103.21406305413419,102.64532437785702,116.54831183062531,151.05372726055833,221.92744049102936,672.5367762605721
BRA,2021-01-24,5.365734160983659,1.2620689578038096,-5.825790280348939,4.752829360170612,7.348287475214701,23.038900392811197,20.323580487130048,10.823100947881711,4033.2829785115837
BRB,2021-02-22,43.408079052021385,-24.53042109266117,103.82603611976818,105.00866949055015,168.2866194826749,99.10673975036013,71.7707142409051,-14.972467814466558,9.532162686334223
BRN,2021-04-09,-96.98015543528936,-67.28595363023817,-50.50641582304429,-85.5391057281903,-97.02209499839184,-98.41899057159819,-98.76696727013501,-98.04344326468535,67.4465842426849
BTN,2021-04-02,108.71331905080919,14.074097523057558,160.97075718914334,336.3492837500559,437.28857937171284,413.14162957343734,932.8514166507643,1411.7377508167076,10.178454687153089
BWA,2021-04-01,-24.895262347782253,-44.916922266836465,-41.81401456695962,-40.89193261521882,-27.593524302362066,-2.848597521498756,57.77561357689168,104.86091954216215,698.0892108396788
CAF,2021-05-19,-88.26546634065299,-82.67203579206911,-86.46130068358379,-94.87006969031435,-94.35784451307788,-87.46346902739835,-88.11503221121302,-88.17818837809263,4.4131500606442655
