date,moving_average_new_cases,moving_average_new_vaccinations
2021-03-21,1.5714285714285714,970.0
2021-03-22,1.5714285714285714,970.0
2021-03-23,1.4285714285714286,970.0
2021-03-24,1.4285714285714286,970.0
2021-03-25,1.5714285714285714,970.0
2021-03-26,0.8571428571428571,1012.1428571428571
2021-03-27,2.142857142857143,1096.4285714285713
2021-03-28,2.0,1222.7142857142858
2021-03-29,3.142857142857143,1391.142857142857
2021-03-30,3.142857142857143,1601.5714285714287
2021-03-31,3.0,1915.7142857142858
2021-04-01,3.857142857142857,2222.0
2021-04-02,4.0,2436.0
2021-04-03,3.5714285714285716,2557.8571428571427
2021-04-04,3.5714285714285716,2587.5714285714284
2021-04-05,2.5714285714285716,2525.1428571428573
2021-04-06,2.7142857142857144,2370.5714285714284
2021-04-07,2.857142857142857,2000.5714285714287
2021-04-08,1.8571428571428572,1638.4285714285713
2021-04-09,1.7142857142857142,1326.4285714285713
2021-04-10,1.1428571428571428,1064.4285714285713
2021-04-11,1.1428571428571428,865.0
2021-04-12,2.4285714285714284,727.8571428571429
2021-04-13,2.7142857142857144,653.2857142857143
2021-04-14,2.7142857142857144,702.7142857142857
2021-04-15,2.857142857142857,779.7142857142857
2021-04-16,3.2857142857142856,871.4285714285714
2021-04-17,3.0,977.8571428571429
2021-04-18,3.5714285714285716,1074.2857142857142
2021-04-19,3.2857142857142856,1160.857142857143
2021-04-20,4.285714285714286,1237.2857142857142
2021-04-21,4.571428571428571,1303.857142857143
2021-04-22,4.142857142857143,1330.142857142857
2021-04-23,4.0,1341.7142857142858
2021-04-24,4.0,1338.5714285714287
2021-04-25,3.4285714285714284,1333.0
2021-04-26,2.2857142857142856,1318.2857142857142
2021-04-27,1.1428571428571428,1294.7142857142858
2021-04-28,0.7142857142857143,1246.857142857143
2021-04-29,1.0,1190.0
2021-04-30,1.2857142857142858,1120.0
2021-05-01,1.4285714285714286,1037.0
2021-05-02,1.8571428571428572,938.5714285714286
2021-05-03,2.5714285714285716,838.2857142857143
2021-05-04,2.2857142857142856,735.8571428571429
2021-05-05,3.142857142857143,661.7142857142857
2021-05-06,2.7142857142857144,615.7142857142857
2021-05-07,2.142857142857143,580.7142857142857
2021-05-08,2.0,556.4285714285714
2021-05-09,1.5714285714285714,549.4285714285714
2021-05-10,0.8571428571428571,553.0
2021-05-11,3.857142857142857,567.1428571428571
2021-05-12,3.0,576.7142857142857
2021-05-13,3.142857142857143,581.7142857142857
2021-05-14,4.0,590.7142857142857
2021-05-15,5.0,603.8571428571429
2021-05-16,5.285714285714286,615.1428571428571
2021-05-17,5.571428571428571,624.4285714285714
2021-05-18,2.857142857142857,631.8571428571429
2021-05-19,3.142857142857143,637.4285714285714
2021-05-20,3.5714285714285716,641.1428571428571
2021-05-21,2.7142857142857144,643.0
2021-05-22,2.0,643.0
2021-05-23,2.2857142857142856,643.0
2021-05-24,2.0,643.0
2021-05-25,1.7142857142857142,643.0
2021-05-26,1.5714285714285714,643.0
2021-05-27,2.142857142857143,643.0
2021-05-28,2.5714285714285716,643.0
2021-05-29,3.2857142857142856,643.0
2021-05-30,2.857142857142857,643.0
2021-05-31,3.7142857142857144,643.0
2021-06-01,3.7142857142857144,639.4285714285714
2021-06-02,3.7142857142857144,632.1428571428571
2021-06-03,3.7142857142857144,621.1428571428571
2021-06-04,4.142857142857143,606.5714285714286
2021-06-05,4.0,588.2857142857143
2021-06-06,6.714285714285714,566.4285714285714
2021-06-07,7.714285714285714,540.8571428571429
2021-06-08,8.714285714285714,518.8571428571429
2021-06-09,10.142857142857142,542.5714285714286
2021-06-10,13.571428571428571,612.1428571428571
2021-06-11,18.142857142857142,692.4285714285714
2021-06-12,20.571428571428573,783.5714285714286
2021-06-13,17.714285714285715,885.5714285714286
2021-06-14,26.714285714285715,998.4285714285714
2021-06-15,32.142857142857146,1120.5714285714287
2021-06-16,32.857142857142854,1168.0
2021-06-17,36.285714285714285,1140.5714285714287
2021-06-18,37.714285714285715,1108.142857142857
2021-06-19,45.57142857142857,1070.7142857142858
2021-06-20,55.714285714285715,1028.142857142857
2021-06-21,61.142857142857146,990.7142857142857
