date,moving_average_new_cases,moving_average_new_vaccinations
2021-06-27,904.4285714285714,4159.714285714285
2021-06-28,904.4285714285714,4878.0
2021-06-29,904.4285714285714,5740.0
2021-06-30,904.4285714285714,6745.714285714285
2021-07-01,904.4285714285714,7607.714285714285
2021-07-02,904.4285714285714,8326.142857142857
2021-07-03,904.4285714285714,8900.857142857143
2021-07-04,1446.2857142857142,9331.857142857143
2021-07-05,1446.2857142857142,9619.285714285714
2021-07-06,1446.2857142857142,9763.0
2021-07-07,1446.2857142857142,9763.0
